mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
59877,Da Sheng Jiang Yao,Movie,Other,1.0,2024-09-15,1 hr 30 min,PG - Children,,,16031.0,25954,127,0,,Inconnu,Inconnu,Inconnu,Action|Adventure|Fantasy
59878,Agami,Movie,Book,1.0,,1 hr 44 min,PG-13 - Teens 13 or older,,,,13914,1409,0,,Studio Meditation With a Pencil,Inconnu,Inconnu,Drama|Fantasy
59879,32 Beon Daewangingeo,Movie,Original,1.0,2024-09-05,10 min,PG-13 - Teens 13 or older,,,15001.0,24298,168,0,,Inconnu,Inconnu,Inconnu,Avant Garde|Drama
59881,Wish Cat,TV,Original,26.0,2024-09-12,11 min per ep,PG - Children,,,21402.0,19428,429,1,fall,SAMG Entertainment,Inconnu,Inconnu,Inconnu
59882,Geugjangpan Beuledeu Movie: Ppangseutaui Tansaeng,Movie,Original,1.0,2024-09-12,1 hr 17 min,G - All Ages,,,16712.0,26523,118,0,,Inconnu,Inconnu,Inconnu,Comedy|Fantasy
59883,Metal Cardbot S,TV,Other,26.0,2024-08-26,11 min per ep,PG - Children,,,18669.0,23065,212,2,summer,Inconnu,OSROCTION,Inconnu,Action|Sci-Fi
59884,Carrie! Haggyogaja,TV,Original,26.0,2024-05-04,13 min per ep,PG - Children,,,15698.0,25037,147,0,spring,Inconnu,Inconnu,Inconnu,Inconnu
59885,Hello Carbot Allstar Special,TV Special,Original,1.0,2024-07-31,1 hr 7 min,G - All Ages,,,17023.0,26457,119,0,,Inconnu,Inconnu,Inconnu,Inconnu
59886,Freestyle Shin-chan: Kasukabe no Rapper,TV Special,Manga,,2022-01-08,7 min,G - All Ages,,,16556.0,24120,174,0,,Shin-Ei Animation,Inconnu,Inconnu,Comedy
59887,Koudai Tanxian Dui,TV,Original,26.0,2023-01-01,13 min per ep,PG - Children,,,18049.0,29678,67,0,,Steamworks,Inconnu,Inconnu,Adventure
59888,On-chan no Kyou wa Donna Kanji?,TV,Original,12.0,2021-05-08,1 min per ep,G - All Ages,,,19286.0,25984,127,0,spring,Tecarat,Taiyo Kikaku,Inconnu,Slice of Life
